price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county,cluster
214900,3,1,0.14,Dalton,1226,1522,11/10/2005,Berkshire,pink
249900,3,2,0.16,Pittsfield,1201,1809,08/11/2017,Berkshire,pink
170000,3,1,0.21,Adams,1220,1632,07/05/2008,Berkshire,pink
265000,3,3,0.17,Pittsfield,1201,1326,29/03/2007,Berkshire,pink
219900,2,1,0.39,Pittsfield,1201,720,29/12/2006,Berkshire,pink
24900,7,3,0.24,Springfield,1105,3727,28/12/2006,Hampden,dark purple
299000,3,1,10.75,Sandisfield,1255,1056,11/03/2008,Berkshire,pink
475000,3,2,0.2,Great Barrington,1230,1424,08/05/2003,Berkshire,pink
249900,6,2,0.13,Springfield,1108,2580,14/08/2009,Hampden,dark purple
259900,6,2,0.11,Springfield,1104,2016,21/11/2006,Hampden,dark purple
199919,4,1,0.1,Springfield,1107,1410,10/03/1989,Hampden,pink
670000,5,3,1.66,Westfield,1085,4296,02/06/2010,Hampden,dark purple
159900,4,2,0.11,Springfield,1109,1525,23/10/1991,Hampden,pink
295000,3,2,0.17,Longmeadow,1106,2038,01/03/1978,Hampden,pink
269900,4,2,0.14,Springfield,1109,1648,20/11/1979,Hampden,pink
279000,6,3,0.17,Springfield,1108,3056,29/08/2002,Hampden,dark purple
225000,2,2,0.11,Springfield,1104,1224,30/07/2002,Hampden,pink
235000,3,1,0.11,Westfield,1085,1248,30/10/1998,Hampden,pink
227000,3,1,0.15,Springfield,1104,1080,27/05/2005,Hampden,pink
129900,4,2,0.2,Pittsfield,1201,1712,25/06/2009,Berkshire,pink
200000,3,1,0.3,Lanesborough,1237,1750,27/11/2002,Berkshire,pink
115000,3,1,0.13,Adams,1220,1642,30/06/2000,Berkshire,pink
249900,2,1,0.22,Hinsdale,1235,706,28/03/1997,Berkshire,pink
1395000,4,5,25.99,Dalton,1226,4179,28/05/1993,Berkshire,dark purple
259000,8,3,0.13,Pittsfield,1201,2996,15/05/2007,Berkshire,dark purple
169900,6,2,0.13,Pittsfield,1201,2060,03/12/1996,Berkshire,dark purple
784900,6,3,0.17,Pittsfield,1201,2592,04/01/2006,Berkshire,dark purple
784900,6,2,0.08,Pittsfield,1201,2554,15/05/2000,Berkshire,dark purple
230000,8,4,0.2,Pittsfield,1201,3904,20/05/2005,Berkshire,dark purple
199900,4,2,0.12,Springfield,1104,1600,05/11/2007,Hampden,pink
209000,2,2,0.11,Springfield,1104,1240,03/06/2002,Hampden,pink
715000,7,7,1,Great Barrington,1230,3684,24/01/2008,Berkshire,dark purple
