,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date,county
771,829900.0,3.0,3.0,0.6,Chelmsford,1824.0,2900.0,1996-10-28,Middlesex
772,599900.0,6.0,3.0,0.17,Lowell,1854.0,1859.0,2008-08-15,Middlesex
773,929000.0,4.0,3.0,0.47,Acton,1720.0,2665.0,2004-12-03,Middlesex
774,749999.0,2.0,3.0,5.25,Chelmsford,1824.0,2312.0,1984-04-24,Middlesex
775,399900.0,3.0,3.0,0.5,Townsend,1474.0,2069.0,1974-11-26,Middlesex
776,489900.0,3.0,2.0,0.23,Billerica,1862.0,1600.0,1999-02-19,Middlesex
777,499900.0,4.0,3.0,0.34,Billerica,1821.0,2371.0,1986-12-05,Middlesex
778,1198000.0,3.0,3.0,2.0,Carlisle,1741.0,3914.0,1999-11-16,Middlesex
779,424000.0,3.0,3.0,0.24,Fitchburg,1420.0,1800.0,1989-03-07,Worcester
780,349900.0,3.0,1.0,0.91,Lunenburg,1462.0,1029.0,1978-03-17,Worcester
781,649000.0,4.0,2.0,1.46,Lunenburg,1462.0,2063.0,1990-10-01,Worcester
782,309000.0,2.0,1.0,0.14,Leominster,1453.0,1212.0,2001-09-28,Worcester
783,699000.0,4.0,3.0,1.59,Fitchburg,1420.0,2952.0,2018-10-01,Worcester
784,429900.0,2.0,3.0,0.2,Lunenburg,1462.0,1444.0,2003-09-02,Worcester
785,995000.0,4.0,4.0,0.84,Acton,1720.0,4325.0,1990-03-30,Middlesex
786,599900.0,3.0,2.0,0.35,Billerica,1862.0,1998.0,2001-08-29,Middlesex
787,929900.0,6.0,4.0,1.13,Billerica,1862.0,3549.0,2007-07-13,Middlesex
788,1525000.0,4.0,6.0,7.94,Concord,1742.0,4871.0,2001-03-16,Middlesex
789,579000.0,4.0,4.0,0.77,Leominster,1453.0,3577.0,2002-10-15,Worcester
790,384900.0,3.0,2.0,0.24,Leominster,1453.0,2292.0,2004-01-29,Worcester
791,495000.0,8.0,3.0,0.19,Leominster,1453.0,3595.0,2015-09-29,Worcester
792,524900.0,4.0,3.0,0.34,Leominster,1453.0,3035.0,1985-04-05,Worcester
793,209900.0,2.0,2.0,0.11,Worcester,1606.0,1176.0,1985-05-24,Worcester
794,449000.0,3.0,2.0,1.06,Pepperell,1463.0,2261.0,1983-07-20,Middlesex
795,525000.0,4.0,2.0,0.51,Pepperell,1463.0,2126.0,2007-01-11,Middlesex
796,625000.0,4.0,2.0,1.79,Boxborough,1719.0,2018.0,1992-09-04,Middlesex
797,329900.0,3.0,1.0,0.96,Townsend,1469.0,1210.0,2002-07-08,Middlesex
798,5400000.0,6.0,10.0,1.38,Weston,2493.0,10000.0,2007-08-21,Middlesex
799,3500000.0,4.0,5.0,0.93,Weston,2493.0,4896.0,1992-07-09,Middlesex
800,1250000.0,6.0,4.0,1.71,Burlington,1803.0,3036.0,1996-07-03,Middlesex
801,349888.0,3.0,1.0,0.74,Shrewsbury,1545.0,1152.0,2003-08-15,Worcester
802,319900.0,3.0,1.0,0.2,Worcester,1605.0,935.0,2003-11-20,Worcester
803,544900.0,5.0,3.0,0.57,Shrewsbury,1545.0,1728.0,2005-04-11,Worcester
804,799900.0,4.0,3.0,0.94,Northborough,1532.0,3275.0,2002-05-29,Worcester
805,2795000.0,4.0,4.0,40.66,Shrewsbury,1545.0,2495.0,2010-10-12,Worcester
806,440000.0,3.0,2.0,0.12,Westborough,1581.0,1047.0,1983-07-29,Worcester
807,439000.0,3.0,1.0,0.5,Northborough,1532.0,1913.0,1978-02-01,Worcester
808,739000.0,4.0,4.0,0.53,Westborough,1581.0,3482.0,2003-12-23,Worcester
809,549000.0,3.0,2.0,1.01,Shrewsbury,1545.0,1632.0,1995-09-27,Worcester
810,779900.0,4.0,3.0,1.34,Shrewsbury,1545.0,2412.0,1989-05-15,Worcester
811,599000.0,4.0,2.0,0.2,Shrewsbury,1545.0,2640.0,1998-09-28,Worcester
812,425000.0,2.0,2.0,12.26,Northborough,1532.0,1640.0,2011-06-03,Worcester
813,699000.0,4.0,3.0,0.25,Westborough,1581.0,2088.0,1987-04-29,Worcester
814,699900.0,5.0,3.0,0.41,Westborough,1581.0,2721.0,2004-10-01,Worcester
815,649900.0,4.0,3.0,0.7,Shrewsbury,1545.0,2716.0,1988-01-22,Worcester
816,684900.0,3.0,3.0,9.38,Northborough,1532.0,2784.0,2016-05-20,Worcester
817,289900.0,3.0,2.0,0.2,Fitchburg,1420.0,1216.0,2007-05-24,Worcester
818,224900.0,3.0,2.0,0.71,Fitchburg,1420.0,1152.0,1968-01-01,Worcester
819,500000.0,3.0,2.0,0.99,Acton,1720.0,1988.0,1992-02-21,Middlesex
820,359000.0,3.0,3.0,0.09,Worcester,1604.0,1320.0,2004-07-09,Worcester
821,574900.0,4.0,3.0,0.42,Rutland,1543.0,2304.0,2002-07-01,Worcester
822,319900.0,2.0,2.0,0.13,Worcester,1606.0,888.0,2004-05-28,Worcester
823,889900.0,4.0,2.0,1.06,Sudbury,1776.0,2859.0,1996-08-28,Middlesex
824,630000.0,4.0,3.0,0.35,Shrewsbury,1545.0,2104.0,1985-12-31,Worcester
825,399900.0,3.0,2.0,0.34,Marlborough,1752.0,1252.0,1988-02-21,Middlesex
826,4695000.0,6.0,8.0,3.3,Concord,1742.0,9849.0,2006-05-25,Middlesex
827,699999.0,4.0,2.0,0.22,Shrewsbury,1545.0,2500.0,1995-11-20,Worcester
828,559900.0,4.0,2.0,0.15,Shrewsbury,1545.0,2421.0,2001-04-27,Worcester
829,1899000.0,5.0,5.0,1.19,Sudbury,1776.0,7044.0,2006-04-11,Middlesex
830,549900.0,4.0,3.0,0.23,Worcester,1602.0,2652.0,1986-11-25,Worcester
831,350000.0,5.0,2.0,0.61,Grafton,1536.0,1892.0,2006-06-30,Worcester
832,1365000.0,4.0,4.0,0.46,Concord,1742.0,2831.0,2019-11-15,Middlesex
833,500000.0,4.0,4.0,0.47,Grafton,1536.0,2784.0,1998-06-01,Worcester
834,378000.0,2.0,1.0,0.15,Ashland,1721.0,952.0,1995-09-15,Middlesex
835,450000.0,3.0,2.0,0.62,Southborough,1772.0,1356.0,1995-11-06,Worcester
836,639900.0,3.0,2.0,0.25,Southborough,1772.0,1824.0,2005-09-30,Worcester
837,1200000.0,4.0,4.0,0.88,Westborough,1581.0,4190.0,1994-04-01,Worcester
838,4995000.0,6.0,11.0,2.17,Sudbury,1776.0,13946.0,2007-10-09,Middlesex
839,609900.0,2.0,3.0,53.42,Upton,1568.0,2224.0,2021-04-06,Worcester
840,449000.0,3.0,1.0,0.68,Southborough,1772.0,1200.0,1994-06-29,Worcester
