,price,bed,bath,acre_lot,house_size,clusters,cluster
2746,499900.0,2.0,2.0,0.14,1080.0,0,pink
2747,374000.0,2.0,3.0,9.0,1260.0,0,pink
2748,2700000.0,4.0,5.0,1.52,3309.0,2,dark purple
2749,750000.0,3.0,2.0,0.53,1844.0,0,pink
2750,1189000.0,3.0,3.0,0.25,1904.0,0,pink
2751,400000.0,2.0,1.0,0.4,1164.0,0,pink
2752,499000.0,2.0,2.0,0.23,1032.0,0,pink
2753,1850000.0,7.0,8.0,1.86,4519.0,2,dark purple
2754,444000.0,3.0,2.0,0.23,2440.0,0,pink
2755,427000.0,2.0,2.0,0.47,1295.0,0,pink
2756,550000.0,2.0,2.0,0.51,1512.0,0,pink
2757,499000.0,3.0,2.0,0.34,1296.0,0,pink
2758,650000.0,3.0,3.0,0.52,1782.0,0,pink
2759,550000.0,3.0,2.0,0.27,2080.0,0,pink
2760,799900.0,3.0,3.0,0.47,2464.0,0,pink
2761,350000.0,2.0,2.0,0.35,1060.0,0,pink
2762,339900.0,2.0,1.0,0.15,844.0,0,pink
2763,649000.0,2.0,2.0,0.25,2424.0,0,pink
2764,369900.0,3.0,1.0,0.2,864.0,0,pink
2765,849900.0,3.0,4.0,0.87,2563.0,0,pink
2766,899000.0,3.0,5.0,0.37,3083.0,2,dark purple
2767,799900.0,3.0,3.0,0.22,2222.0,0,pink
2768,549000.0,3.0,3.0,0.76,2127.0,0,pink
2769,599800.0,3.0,2.0,0.21,2264.0,0,pink
2770,499000.0,3.0,1.0,0.23,1400.0,0,pink
2771,1495000.0,3.0,3.0,0.27,2476.0,0,pink
2772,1295000.0,3.0,2.0,0.57,2136.0,0,pink
2773,2600000.0,3.0,3.0,0.8,1829.0,0,pink
2774,549000.0,3.0,2.0,0.34,2372.0,0,pink
2775,500000.0,2.0,1.0,0.4,720.0,0,pink
2776,850000.0,3.0,1.0,0.22,1128.0,0,pink
2777,519000.0,3.0,1.0,0.26,1572.0,0,pink
2778,350000.0,2.0,3.0,9.0,1246.0,0,pink
2779,2295000.0,5.0,5.0,0.23,2605.0,2,dark purple
2780,399000.0,3.0,1.0,0.23,768.0,0,pink
2781,1199000.0,3.0,3.0,1.03,1978.0,0,pink
2782,615000.0,3.0,1.0,0.38,960.0,0,pink
2783,575000.0,3.0,2.0,0.13,1458.0,0,pink
2784,469000.0,3.0,1.0,0.11,1345.0,0,pink
2785,679900.0,3.0,2.0,1.0,1697.0,0,pink
2786,376000.0,3.0,3.0,0.09,1445.0,0,pink
2787,385000.0,6.0,2.0,0.1,4299.0,2,dark purple
2788,1350000.0,4.0,3.0,0.23,4167.0,2,dark purple
2789,349900.0,5.0,3.0,0.07,2746.0,2,dark purple
2790,1175000.0,3.0,2.0,0.91,2184.0,0,pink
2791,349900.0,3.0,2.0,0.15,1516.0,0,pink
2792,350000.0,3.0,2.0,0.07,1391.0,0,pink
2793,300000.0,4.0,2.0,0.06,2580.0,0,pink
2794,299900.0,4.0,2.0,0.06,1855.0,0,pink
2795,379900.0,3.0,2.0,0.15,2729.0,0,pink
2796,780000.0,4.0,3.0,0.2,2488.0,0,pink
2797,539900.0,3.0,3.0,0.14,1920.0,0,pink
2798,449900.0,6.0,2.0,0.14,2428.0,2,dark purple
2799,310000.0,3.0,2.0,0.1,1540.0,0,pink
2800,409900.0,5.0,3.0,0.09,1522.0,0,pink
2801,599900.0,8.0,3.0,0.06,3156.0,2,dark purple
2802,470000.0,6.0,3.0,0.05,2274.0,2,dark purple
2803,649000.0,4.0,2.0,0.12,2160.0,0,pink
2804,795000.0,3.0,4.0,0.22,2450.0,0,pink
2805,399900.0,6.0,3.0,0.07,2872.0,2,dark purple
2806,429900.0,4.0,1.0,0.16,1267.0,0,pink
2807,344900.0,8.0,4.0,0.08,2701.0,2,dark purple
2808,300000.0,3.0,2.0,0.06,1428.0,0,pink
2809,298500.0,2.0,1.0,0.09,1206.0,0,pink
2810,429900.0,3.0,1.0,0.16,1336.0,0,pink
2811,249900.0,3.0,1.0,0.06,997.0,0,pink
2812,4400000.0,4.0,5.0,0.36,3840.0,2,dark purple
2813,1725000.0,3.0,3.0,0.1,1564.0,0,pink
2814,13600000.0,5.0,7.0,1.68,5079.0,1,purple
2815,4695000.0,7.0,8.0,0.47,4279.0,1,purple
2816,1699000.0,5.0,3.0,1.6,2075.0,2,dark purple
2817,1112000.0,3.0,2.0,1.6,1092.0,0,pink
2818,2000000.0,3.0,3.0,1.39,2926.0,0,pink
2819,3200000.0,4.0,5.0,3.0,4150.0,2,dark purple
2820,269900.0,3.0,2.0,0.12,1351.0,0,pink
2821,425000.0,3.0,2.0,0.83,1368.0,0,pink
2822,407000.0,2.0,1.0,0.46,1244.0,0,pink
2823,899000.0,3.0,2.0,0.36,1681.0,0,pink
2824,824900.0,4.0,2.0,0.75,1868.0,0,pink
2825,799000.0,3.0,3.0,0.62,2082.0,0,pink
2826,949000.0,3.0,2.0,0.24,1372.0,0,pink
2827,3949000.0,5.0,6.0,1.01,5888.0,2,dark purple
2828,1650000.0,4.0,4.0,0.7,2900.0,2,dark purple
2829,2995000.0,6.0,3.0,0.98,2794.0,2,dark purple
2830,499000.0,3.0,3.0,0.29,3162.0,0,pink
2831,479900.0,2.0,2.0,0.34,1732.0,0,pink
2832,399000.0,2.0,1.0,0.21,924.0,0,pink
2833,499900.0,3.0,1.0,0.14,640.0,0,pink
2834,440000.0,2.0,2.0,0.2,1040.0,0,pink
2835,849900.0,4.0,3.0,0.34,2571.0,0,pink
2836,675000.0,3.0,1.0,0.23,1080.0,0,pink
2837,475000.0,2.0,1.0,0.1,908.0,0,pink
2838,623000.0,3.0,2.0,0.29,1442.0,0,pink
2839,699900.0,4.0,2.0,0.15,1308.0,0,pink
2840,1350000.0,2.0,1.0,0.35,1528.0,0,pink
2841,475000.0,2.0,2.0,0.14,1411.0,0,pink
2842,1500000.0,13.0,14.0,0.5,6290.0,1,purple
2843,1350000.0,4.0,3.0,0.32,3633.0,2,dark purple
2844,3800000.0,4.0,5.0,0.35,4360.0,2,dark purple
2845,468000.0,2.0,1.0,0.19,784.0,0,pink
2846,825000.0,3.0,3.0,0.18,2116.0,0,pink
2847,399000.0,2.0,1.0,0.19,792.0,0,pink
2848,525000.0,2.0,2.0,0.32,804.0,0,pink
2849,545000.0,2.0,1.0,0.15,704.0,0,pink
2850,599000.0,5.0,2.0,0.4,1468.0,0,pink
2851,749000.0,2.0,1.0,0.26,720.0,0,pink
2852,495000.0,3.0,2.0,0.15,982.0,0,pink
2853,3995000.0,6.0,7.0,1.18,4863.0,2,dark purple
2854,769000.0,3.0,2.0,0.73,1872.0,0,pink
2855,740000.0,3.0,3.0,0.46,2018.0,0,pink
2856,769000.0,3.0,3.0,0.54,2130.0,0,pink
2857,679000.0,2.0,2.0,0.6,1404.0,0,pink
2858,599000.0,3.0,1.0,0.21,952.0,0,pink
2859,650000.0,3.0,2.0,1.11,1717.0,0,pink
