,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
108872,750000.0,4.0,3.0,0.12,Boston,2128.0,2558.0,1994-11-04
108873,455000.0,2.0,2.0,0.03,Boston,2136.0,1292.0,2005-04-11
108877,2100000.0,2.0,2.0,0.03,Boston,2110.0,1700.0,2007-07-31
108883,695000.0,2.0,2.0,0.02,Boston,2127.0,1023.0,2007-07-30
108943,895000.0,3.0,2.0,0.08,Boston,2122.0,1116.0,1998-01-21
108957,709000.0,6.0,2.0,0.06,Boston,2125.0,2330.0,2009-11-13
108965,799900.0,3.0,2.0,0.12,Milton,2186.0,1536.0,2009-12-22
108966,799000.0,1.0,1.0,0.02,Boston,2116.0,705.0,1999-01-08
109006,899000.0,6.0,3.0,0.09,Boston,2124.0,3000.0,2000-11-16
109015,549000.0,2.0,1.0,0.02,Boston,2127.0,713.0,2005-08-04
109048,6495000.0,4.0,5.0,0.04,Boston,2114.0,5948.0,1997-12-30
109050,7599000.0,4.0,6.0,0.04,Boston,2114.0,5799.0,2008-10-31
109090,579000.0,3.0,2.0,0.23,Boston,2113.0,702.0,1994-02-01
109114,3300000.0,3.0,5.0,0.06,Boston,2111.0,2667.0,2007-06-12
109127,537000.0,3.0,2.0,0.03,Chelsea,2150.0,1035.0,2002-06-05
109128,650000.0,1.0,1.0,0.02,Boston,2128.0,1022.0,2006-05-15
109132,685000.0,2.0,1.0,0.02,Boston,2127.0,800.0,2018-05-30
109134,799000.0,2.0,1.0,0.02,Boston,2118.0,753.0,2004-09-20
109149,929000.0,1.0,1.0,0.02,Boston,2127.0,1087.0,2013-08-01
109168,715000.0,5.0,4.0,0.09,Boston,2125.0,2929.0,1996-07-01
109182,859000.0,8.0,4.0,0.17,Boston,2136.0,3204.0,2001-06-22
109189,1299999.0,12.0,3.0,0.08,Boston,2122.0,3720.0,2008-01-25
109220,639000.0,2.0,1.0,0.02,Boston,2113.0,736.0,2000-07-14
109251,839900.0,4.0,3.0,0.12,Boston,2136.0,2374.0,2008-08-21
109255,659000.0,1.0,2.0,0.02,Boston,2111.0,1067.0,2005-09-26
109256,1199999.0,4.0,3.0,0.4,Boston,2124.0,2314.0,1993-03-26
109261,565000.0,1.0,1.0,0.01,Boston,2113.0,636.0,2004-09-03
109291,450000.0,2.0,2.0,0.04,Boston,2125.0,980.0,1992-08-11
109320,1500000.0,12.0,3.0,0.18,Boston,2124.0,4464.0,2008-03-04
109325,1099000.0,2.0,2.0,0.03,Boston,2127.0,1183.0,2007-06-19
109333,599000.0,2.0,2.0,0.1,Milton,2186.0,1106.0,1998-06-02
109344,599000.0,2.0,1.0,0.02,Boston,2127.0,915.0,2008-05-30
109349,569000.0,1.0,1.0,0.01,Boston,2127.0,641.0,2016-10-14
109352,749900.0,3.0,3.0,0.03,Boston,2128.0,1540.0,2000-12-07
109356,589900.0,2.0,2.0,0.02,Boston,2128.0,923.0,2019-10-28
109361,1299000.0,2.0,2.0,0.03,Boston,2113.0,1328.0,2021-04-09
109422,850000.0,4.0,2.0,0.05,Boston,2128.0,2594.0,2008-10-08
109424,799000.0,4.0,3.0,0.09,Milton,2186.0,2090.0,1996-12-23
109434,1149000.0,6.0,3.0,0.08,Boston,2122.0,2995.0,2006-11-27
109504,325000.0,1.0,1.0,0.02,Boston,2122.0,686.0,2001-06-29
109507,505000.0,2.0,1.0,0.02,Boston,2125.0,747.0,2021-06-30
109521,525000.0,1.0,1.0,0.01,Boston,2127.0,543.0,2018-05-31
109536,1895000.0,2.0,3.0,0.03,Boston,2111.0,1504.0,2010-06-01
109558,309000.0,1.0,1.0,4.25,Dedham,2026.0,744.0,2014-10-23
109566,399000.0,1.0,1.0,0.02,Boston,2125.0,673.0,2009-05-08
109592,889900.0,4.0,2.0,0.18,Dedham,2026.0,1875.0,1996-09-30
109614,1349000.0,2.0,2.0,0.02,Boston,2118.0,1049.0,2019-04-01
109660,619000.0,1.0,1.0,0.01,Boston,2118.0,577.0,2020-12-24
109663,2325000.0,3.0,3.0,0.04,Boston,2109.0,1686.0,2008-02-07
109673,899900.0,4.0,3.0,0.46,Westwood,2090.0,1751.0,1994-02-28
109676,649900.0,3.0,2.0,0.09,Revere,2151.0,2107.0,2004-04-12
109680,269850.0,1.0,1.0,0.01,Boston,2136.0,623.0,2014-09-04
109687,1149999.0,8.0,4.0,0.12,Boston,2126.0,4452.0,2005-05-11
109717,630000.0,3.0,2.0,0.14,Boston,2136.0,1232.0,1993-02-17
109739,989000.0,3.0,3.0,0.03,Boston,2127.0,1464.0,2008-04-29
109760,415000.0,3.0,2.0,0.02,Boston,2119.0,1199.0,1996-12-20
109762,935000.0,4.0,2.0,0.07,Boston,2125.0,1830.0,1997-04-23
109767,1299000.0,2.0,2.0,0.03,Boston,2110.0,1168.0,2013-05-29
109774,1225000.0,2.0,2.0,0.03,Boston,2110.0,1216.0,2014-10-14
109802,419000.0,1.0,1.0,0.01,Boston,2127.0,560.0,2002-09-18
109824,949000.0,2.0,3.0,0.03,Boston,2127.0,1137.0,2007-06-15
109833,1995000.0,3.0,2.0,0.04,Boston,2113.0,1645.0,2006-06-01
109846,649900.0,3.0,2.0,0.01,Revere,2151.0,1710.0,2002-02-11
109850,999999.0,7.0,4.0,0.2,Boston,2136.0,3397.0,1988-05-25
